"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Cambrian-Ordovician aquifer system","cmorpas1","IL",405404089022301,"6/19/2014","CMORPAS1-46","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",333826097213601,"12/12/2016","EDTRPAS1-21","<","25","<","6.8","<","8","<","100","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Coastal lowlands aquifer system","clowpas1","TX",310935093352701,"9/5/2013","CLOWPAS1-16","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","1.1347","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",354245077311701,"9/26/2013","NACPPAS2B-18","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",344244077135801,"8/28/2013","NACPPAS2A-03","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","7.6989"
"Edwards-Trinity aquifer system","edtrpas1","TX",293127098573701,"3/29/2017","EDTRPAS1-45","<","10","<","6.8","<","8","<","19","<","25","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","25","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Colorado Plateaus aquifers","coplpas1","CO",371618107594201,"7/10/2017","COPLPAS1-49","<","10","<","6.8","<","8","<","19","<","25","<","10","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Biscayne aquifer","biscpas1","FL",252940080261205,"6/8/2016","BISCPAS1-35","<","10","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","5","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Glacial aquifer system","glacpas1","ND",465113099552701,"7/15/2014","GLACPAS1-21","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","NA","0.9255","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Edwards-Trinity aquifer system","edtrpas1","TX",295327097560401,"5/3/2017","EDTRPAS1-50","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Cambrian-Ordovician aquifer system","cmorpas1","IL",404155089593202,"6/18/2014","CMORPAS1-44","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","GA",322509081473301,"6/15/2015","FLORPAS1-10","<","9","<","5","<","8","<","19","<","6","<","6","<","5","<","5","<","50","<","5","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","5"
"Biscayne aquifer","biscpas1","FL",261300080100001,"9/1/2016","BISCPAS1-10","<","7","NA","6.9086","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","4.3619","<","18","<","20","<","6","<","10","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","AL",322405087342601,"8/12/2013","SECPPAS1-BW-28","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",370019093120801,"7/20/2016","OZRKPAS1-41","<","7","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","MS",332240089033401,"8/28/2013","SECPPAS1-BW-17","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","NA","1.6179","<","18","<","14","<","500","<","6.8258"
"Rio Grande aquifer system","rgaqpas1","NM",314935107381901,"5/13/2014","RGAQPAS1-02","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","IA",412307091031601,"8/28/2013","GLACPAS1-76","<","9","NA","27.436","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","NA","3.15","<","18","<","14","<","500","<","3"
