"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Colorado Plateaus aquifers","coplpas1","AZ",345737110485901,"8/14/2017","COPLPAS1-05","<","10","<","10","<","8","<","19","<","25","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","10","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",410851091394401,"3/26/2014","CMORPAS1-29","<","10","<","5","<","10","<","19","<","10","<","10","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",412832095132701,"4/23/2014","CMORPAS1-01","<","10","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Glacial aquifer system","glacpas1","NY",432428073311501,"7/1/2014","GLACPAS1-32","<","50","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","10"
"Colorado Plateaus aquifers","coplpas1","CO",393939106400601,"6/27/2017","COPLPAS1-46","<","25","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Biscayne aquifer","biscpas1","FL",262000080110001,"8/22/2016","BISCPAS1-01","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","250","<","50","<","11","<","22","NA","3.0158","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","AL",321505086104601,"8/21/2013","SECPPAS1-BW-32","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","GA",332431084384501,"8/20/2014","PIEDPAS1-40","<","10","<","19.4","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","MN",475551091480501,"7/8/2014","GLACPAS1-13","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Coastal lowlands aquifer system","clowpas1","LA",310305092101202,"8/27/2013","CLOWPAS1-41","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",291232099470301,"3/8/2017","EDTRPAS1-35","<","25","<","10.988","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","25","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Basin and Range carbonate-rock aquifers","bnrcpas1","AZ",344152111592301,"7/30/2013","BNRCPAS1-01","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","NE",411040102573001,"4/7/2015","HPAQPAS1-26","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","25","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",421703094171901,"4/3/2014","CMORPAS1-02","<","10","<","5","<","10","<","19","<","10","<","10","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","UT",414400112050001,"8/19/2013","BNRFPAS1-73","<","10","<","10","<","10","<","100","<","50","<","6","<","10","<","4","<","50","<","3","<","206","<","17","<","50","<","50","<","3","<","50","<","50","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","WI",431037090043401,"9/15/2014","GLACPAS1-U25","<","10","NA","28.8314","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","LA",323308091310801,"7/23/2014","METXPAS1-26","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","250","<","250","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","10"
"Ozark Plateaus aquifer system","ozrkpas1","MO",375120092234001,"6/9/2016","OZRKPAS1-25","<","10","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","5","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Cambrian-Ordovician aquifer system","cmorpas1","MN",460757092583001,"6/26/2014","CMORPAS1-23","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Basin and Range carbonate-rock aquifers","bnrcpas1","NV",364400114440001,"3/25/2015","BNRCPAS1-05","<","10","<","5.55","<","8.88","<","21.09","<","10","<","6.66","<","4.44","<","4.44","<","55.5","<","3.33","<","228.66","<","18.87","<","12.21","<","24.42","<","3.33","<","21.09","<","22.2","<","6.66","<","11.1","NA","NA","<","9.99","<","19.98","<","15.54","<","555","<","10"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",430241091234501,"5/1/2014","CMORPAS1-27","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","MT",474050114084801,"4/10/2014","GLACPAS1-04","<","10","<","19.4","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","5"
"Rio Grande aquifer system","rgaqpas1","NM",351915106352801,"7/9/2014","RGAQPAS1-16","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Basin and Range aquifers","bnrfpas1","AZ",315010111000701,"7/16/2013","BNRFPAS1-46","<","50","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",340031090030201,"7/16/2014","METXPAS1-51","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",345730078301702,"9/5/2013","NACPPAS2B-02","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",300453097503301,"3/22/2017","EDTRPAS1-39","<","25","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","10","NA","NA","<","9","<","50","<","12","<","1000","<","10"
"Glacial aquifer system","glacpas1","NY",420540076030701,"7/10/2014","GLACPAS1-53","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","MT",482047107523501,"7/8/2014","GLACPAS1-07","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"High Plains aquifer","hpaqpas1","NE",422630098384001,"4/1/2015","HPAQPAS1-24","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MO",363605089585501,"6/2/2014","METXPAS1-01","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","5","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Biscayne aquifer","biscpas1","FL",254215080201401,"6/14/2016","BISCPAS1-27","<","7","NA","8.5004","<","8","<","19","<","10","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","NA","17.8141","<","18","<","20","<","6","<","10","NA","NA","<","9","<","18","<","12","<","500","<","10"
"Basin and Range aquifers","bnrfpas1","CA",344400117200001,"7/16/2013","BNRFPAS1-15","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","2.9231","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","5.5094"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","TN",353857084511801,"7/15/2013","VPDCPAS1-15","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",280910081555001,"3/12/2015","FLORPAS1-21","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","WV",392158077525301,"8/19/2013","VPDCPAS1-20","<","10","NA","28.4433","<","10","<","100","<","50","<","6","<","10","<","4","<","50","<","3","<","206","<","17","<","50","<","50","<","3","<","50","<","50","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",323011096543001,"12/5/2016","EDTRPAS1-17","<","10","<","6.8","<","10","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","NA","NA","<","11","<","22","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Rio Grande aquifer system","rgaqpas1","NM",360027106063401,"8/27/2014","RGAQPAS1-43","<","9","<","5","<","8","<","100","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Biscayne aquifer","biscpas1","FL",255924080191101,"8/24/2016","BISCPAS1-20","<","50","NA","37.3124","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","250","<","17","<","11","<","22","NA","3.5719","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Rio Grande aquifer system","rgaqpas1","NM",353315105564901,"6/11/2014","RGAQPAS1-12","<","9","<","5","<","10","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","OH",413100080490000,"8/20/2013","GLACPAS1-U18","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","NE",415050103393002,"4/9/2015","HPAQPAS1-28","<","9","NA","2.279","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","E","1.0237","<","19","<","25","<","10","<","10","NA","NA","E","6.3731","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",351543082125001,"8/14/2014","PIEDPAS1-12","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","PA",395625077585901,"8/22/2013","VPDCPAS1-11","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","0.9002","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Colorado Plateaus aquifers","coplpas1","NM",352909107394501,"8/29/2017","COPLPAS1-44","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Basin and Range aquifers","bnrfpas1","NV",361023115114401,"9/23/2013","BNRFPAS1-32","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Basin and Range aquifers","bnrfpas1","NV",364912114041201,"9/30/2013","BNRFPAS1-34","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",304819097361101,"3/21/2017","EDTRPAS1-38","<","25","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","10","NA","NA","<","9","<","50","<","12","<","1000","<","10"
"Ozark Plateaus aquifer system","ozrkpas1","MO",371412090575601,"4/28/2016","OZRKPAS1-07","<","9","NA","16.1314","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",474131117432501,"7/26/2016","CLPTPAS1-20","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","25","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","TX",320731101480901,"6/1/2016","HPAQPAS1-70","<","9","NA","3.5481","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","5","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","WV",393418078132201,"8/20/2013","VPDCPAS1-12","<","10","<","10","<","10","<","100","<","50","<","6","<","10","<","4","<","50","<","3","<","206","<","17","<","50","<","50","<","3","<","50","<","50","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","SD",445330097071801,"9/24/2013","GLACPAS1-U21","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","NA","1.4272"
"Biscayne aquifer","biscpas1","FL",254934080250401,"6/13/2016","BISCPAS1-26","<","9","NA","0.7304","<","8","<","19","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","AL",320431085315301,"7/22/2013","SECPPAS1-BW-24","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","5"
"Ozark Plateaus aquifer system","ozrkpas1","MO",374010089455501,"8/22/2016","OZRKPAS1-48","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","250","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Basin and Range aquifers","bnrfpas1","CA",342953117173101,"6/11/2013","BNRFPAS1-02","<","50","<","10","<","8","<","19","<","50","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","50","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","5"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",345941078105001,"9/10/2013","NACPPAS2B-06","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",353143076575701,"9/17/2013","NACPPAS2A-16","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","TN",352658089483201,"6/17/2014","METXPAS1-56","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",354611079532901,"7/28/2014","PIEDPAS1-02","<","10","<","5","<","8","<","25","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",343400077292201,"8/28/2013","NACPPAS2A-02","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","7.0978"
"Rio Grande aquifer system","rgaqpas1","NM",365802105313101,"8/20/2014","RGAQPAS1-40","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","TX",351614100314101,"6/15/2016","HPAQPAS1-74","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Cambrian-Ordovician aquifer system","cmorpas1","MN",433817091295501,"7/22/2014","CMORPAS1-26","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","250","<","250","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","11.8119"
"Rio Grande aquifer system","rgaqpas1","NM",342044106502801,"7/28/2014","RGAQPAS1-37","<","10","<","5","<","8","<","25","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Edwards-Trinity aquifer system","edtrpas1","TX",325527097305701,"11/30/2016","EDTRPAS1-15","<","10","<","6.8","<","10","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","NA","NA","<","11","<","22","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","MS",343706089111601,"7/24/2013","SECPPAS1-C-29","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",361349080414901,"8/20/2014","PIEDPAS1-18","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","MS",345021088572201,"7/25/2013","SECPPAS1-BW-14","<","50","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","NA","1.5202","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Basin and Range carbonate-rock aquifers","bnrcpas1","UT",402545112184701,"8/10/2015","BNRCPAS1-14","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","50"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",414430092433001,"4/7/2014","CMORPAS1-17","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","25","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","25"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","LA",330107093283801,"7/28/2014","METXPAS1-28","<","10","<","5","<","8","<","25","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Coastal lowlands aquifer system","clowpas1","MS",315920089541701,"6/19/2013","CLOWPAS1-54","<","50","<","250","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","50","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",324937113304501,"9/5/2013","BNRFPAS1-68","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","AL",335323088074301,"8/14/2013","SECPPAS1-BW-30","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",322025111033101,"7/15/2013","BNRFPAS1-45","<","9","NA","9.3132","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","NY",423938075024001,"7/7/2014","GLACPAS1-52","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","4.2822","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","ND",485010100355401,"7/21/2014","GLACPAS1-09","<","10","<","5","<","8","<","25","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Basin and Range aquifers","bnrfpas1","CA",335700116300001,"6/13/2013","BNRFPAS1-04","<","50","<","5","<","50","<","19","<","50","<","6","<","4","<","4","<","50","<","5","<","250","<","17","<","50","<","22","<","3","<","50","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Rio Grande aquifer system","rgaqpas1","TX",315733106364501,"5/21/2014","RGAQPAS1-59","<","9.99","<","5.55","<","25","<","21.09","<","6.66","<","6.66","<","4.44","<","4.44","<","55.5","<","3.33","<","228.66","<","18.87","<","12.21","<","24.42","<","3.33","<","21.09","<","22.2","<","6.66","<","11.1","NA","NA","<","9.99","<","19.98","<","15.54","<","555","<","3.33"
"Biscayne aquifer","biscpas1","FL",260331080183001,"8/29/2016","BISCPAS1-16","<","50","NA","8.5766","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","250","<","50","<","11","<","22","NA","2.6526","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Ozark Plateaus aquifer system","ozrkpas1","MO",381250090342801,"8/17/2016","OZRKPAS1-34","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Glacial aquifer system","glacpas1","IA",430449096061301,"8/20/2013","GLACPAS1-U03","<","9","NA","8.4098","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",355708078063401,"8/25/2014","PIEDPAS1-20","<","9","<","5","<","8","<","100","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","TX",333459102215001,"5/23/2016","HPAQPAS1-64","<","9","NA","47.5076","<","8","<","19","<","6","<","6","<","4","<","4","<","100","<","3","<","206","<","17","<","11","<","22","NA","3.6141","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","OH",402903082325503,"8/12/2013","GLACPAS1-71","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
